normed,black,american_native,asian,hawaiian_pacific_islander,white,hispanic_latino,multiracial,unknown,bad_format,minority
multiple race,,,,,,,TRUE,TRUE,FALSE,TRUE
multiple races,,,,,,,TRUE,TRUE,FALSE,TRUE
n/a,,,,,,,,TRUE,FALSE,
unknown,,,,,,,,TRUE,FALSE,
nat hawaiian/pacific isla,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native american/alaskan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native hawaiian and other pacific islander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native hawaiian or other pacific islander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native hawaiian/oth pac island,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native hawaiian/other pacific islander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
native hawaiian/pacific islander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
nativehawaiianpacificislander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
nhs (/latino),,,,,,TRUE,,TRUE,FALSE,TRUE
no response,,,,,,,,TRUE,FALSE,
non resident alien,,,,,,,,TRUE,FALSE,
nonresident alien,,,,,,,,TRUE,FALSE,
north african,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
not reported,,,,,,,,TRUE,FALSE,
not specified,,,,,,,,TRUE,FALSE,
notspecified,,,,,,,,TRUE,FALSE,
np (asian/pacific islander),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
nspec,,,,,,,,TRUE,FALSE,
other,,,,,,,,TRUE,FALSE,
pacific islander,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
pacific islander/ native hawaiian,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
prefer to not answer,,,,,,,,TRUE,FALSE,
race and ethnicity unknown,,,,,,,,TRUE,FALSE,
race unknown,,,,,,,,TRUE,FALSE,
race/ethnicity unknown,,,,,,,,TRUE,FALSE,
resident alien,,,,,,,,TRUE,FALSE,
three,,,,,,,,TRUE,FALSE,
two or more races,,,,,,,TRUE,TRUE,FALSE,TRUE
two or more selected,,,,,,,TRUE,TRUE,FALSE,TRUE
twoormoreraces,,,,,,,TRUE,TRUE,FALSE,TRUE
un (unknown),,,,,,,,TRUE,FALSE,
unidentified,,,,,,,,TRUE,FALSE,
unknown race/ethnicity,,,,,,,,TRUE,FALSE,
unknown/not reported,,,,,,,,TRUE,FALSE,
unknown/undeclared,,,,,,,,TRUE,FALSE,
west indian,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
white,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
wh (white american indian or alaska native),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
wh (white),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
white (),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
white caucasian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
white race,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"black,",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"white,",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Afghan,,,,,,,,,nationality,
Albanian,,,,,,,,,nationality,
Algerian,,,,,,,,,nationality,
Andorran,,,,,,,,,nationality,
Angolan,,,,,,,,,nationality,
Argentinian,,,,,,,,,nationality,
Armenian,,,,,,,,,nationality,
Australian,,,,,,,,,nationality,
Austrian,,,,,,,,,nationality,
Azerbaijani,,,,,,,,,nationality,
Bahamian,,,,,,,,,nationality,
Bahraini,,,,,,,,,nationality,
Bangladeshi,,,,,,,,,nationality,
Barbadian,,,,,,,,,nationality,
Belarusian,,,,,,,,,nationality,
Belarusan,,,,,,,,,nationality,
Belgian,,,,,,,,,nationality,
Belizian,,,,,,,,,nationality,
Beninese,,,,,,,,,nationality,
Bhutanese,,,,,,,,,nationality,
Bolivian,,,,,,,,,nationality,
Bosnian,,,,,,,,,nationality,
Tswana,,,,,,,,,nationality,
Brazilian,,,,,,,,,nationality,
Briton,,,,,,,,,nationality,
Bruneian,,,,,,,,,nationality,
Bulgarian,,,,,,,,,nationality,
Burkinese,,,,,,,,,nationality,
Burmese,,,,,,,,,nationality,
Burundian,,,,,,,,,nationality,
Cambodian,,,,,,,,,nationality,
Cameroonian,,,,,,,,,nationality,
Canadian,,,,,,,,,nationality,
Cape Verdean,,,,,,,,,nationality,
Chadian,,,,,,,,,nationality,
Chilean,,,,,,,,,nationality,
Chinese,,,,,,,,,nationality,
Colombian,,,,,,,,,nationality,
Congolese,,,,,,,,,nationality,
Costa Rican,,,,,,,,,nationality,
Croat,,,,,,,,,nationality,
Croatian,,,,,,,,,nationality,
Cuban,,,,,,,,,nationality,
Cypriot,,,,,,,,,nationality,
Czech,,,,,,,,,nationality,
Dane,,,,,,,,,nationality,
Djiboutian,,,,,,,,,nationality,
Dominican,,,,,,,,,nationality,
Dominican,,,,,,,,,nationality,
Ecuadorean,,,,,,,,,nationality,
Egyptian,,,,,,,,,nationality,
Salvadorean,,,,,,,,,nationality,
Englishman,,,,,,,,,nationality,
Englishwoman,,,,,,,,,nationality,
Eritrean,,,,,,,,,nationality,
Estonian,,,,,,,,,nationality,
Ethiopian,,,,,,,,,nationality,
Fijian,,,,,,,,,nationality,
Finn,,,,,,,,,nationality,
Frenchman,,,,,,,,,nationality,
Frenchwoman,,,,,,,,,nationality,
Gabonese,,,,,,,,,nationality,
Gambian,,,,,,,,,nationality,
Georgian,,,,,,,,,nationality,
German,,,,,,,,,nationality,
Ghanaian,,,,,,,,,nationality,
Greek,,,,,,,,,nationality,
Grenadian,,,,,,,,,nationality,
Guatemalan,,,,,,,,,nationality,
Guinean,,,,,,,,,nationality,
Guyanese,,,,,,,,,nationality,
Haitian,,,,,,,,,nationality,
Dutchman,,,,,,,,,nationality,
Dutchwoman,,,,,,,,,nationality,
Honduran,,,,,,,,,nationality,
Hungarian,,,,,,,,,nationality,
Icelander,,,,,,,,,nationality,
Indian,,,,,,,,,nationality,
Indonesian,,,,,,,,,nationality,
Iranian,,,,,,,,,nationality,
Iraqi,,,,,,,,,nationality,
Irishman,,,,,,,,,nationality,
Irishwoman,,,,,,,,,nationality,
Israeli,,,,,,,,,nationality,
Italian,,,,,,,,,nationality,
Jamaican,,,,,,,,,nationality,
Japanese,,,,,,,,,nationality,
Jordanian,,,,,,,,,nationality,
Kazakh,,,,,,,,,nationality,
Kenyan,,,,,,,,,nationality,
Kuwaiti,,,,,,,,,nationality,
Laotian,,,,,,,,,nationality,
Latvian,,,,,,,,,nationality,
Lebanese,,,,,,,,,nationality,
Liberian,,,,,,,,,nationality,
Libyan,,,,,,,,,nationality,
Liechtensteiner,,,,,,,,,nationality,
Lithuanian,,,,,,,,,nationality,
Luxembourger,,,,,,,,,nationality,
Macedonian,,,,,,,,,nationality,
Malagasy,,,,,,,,,nationality,
Madagascan,,,,,,,,,nationality,
Malawian,,,,,,,,,nationality,
Malaysian,,,,,,,,,nationality,
Maldivian,,,,,,,,,nationality,
Malian,,,,,,,,,nationality,
Maltese,,,,,,,,,nationality,
Mauritanian,,,,,,,,,nationality,
Mauritian,,,,,,,,,nationality,
Mexican,,,,,,,,,nationality,
Moldovan,,,,,,,,,nationality,
Monegasque,,,,,,,,,nationality,
Monacan,,,,,,,,,nationality,
Mongolian,,,,,,,,,nationality,
Montenegrin,,,,,,,,,nationality,
Moroccan,,,,,,,,,nationality,
Mozambican,,,,,,,,,nationality,
Namibian,,,,,,,,,nationality,
Nepalese,,,,,,,,,nationality,
Dutchman,,,,,,,,,nationality,
Dutchwoman,,,,,,,,,nationality,
Netherlander,,,,,,,,,nationality,
New Zealander,,,,,,,,,nationality,
Nicaraguan,,,,,,,,,nationality,
Nigerien,,,,,,,,,nationality,
Nigerian,,,,,,,,,nationality,
North Korean,,,,,,,,,nationality,
Norwegian,,,,,,,,,nationality,
Omani,,,,,,,,,nationality,
Pakistani,,,,,,,,,nationality,
Panamanian,,,,,,,,,nationality,
Papua New Guinean,,,,,,,,,nationality,
